construct,promoter,name,ts,miR,ts_num,ts_kind,ts_loc,miR_loc,design,group,pKG
RC220,EF1a,EF1a-mRuby2-miRE.FF5-bGH,none,miRE.FF5,0,na,na,UTR,0,miR,2974
RC221,EF1a,EF1a-mRuby2(miRE.FF5)-TS.FF6x1-bGH,FF6x1,miRE.FF5,1,NT,3',CDS,1,controller,2998
RC222,EF1a,EF1a-mRuby2(miRE.FF5)-TS.FF5x1-bGH,FF5x1,miRE.FF5,1,T,3',CDS,1,controller,2999
RC223,EF1a,EF1a-TS.FF6x1-mRuby2(miRE.FF5)-bGH,FF6x1,miRE.FF5,1,NT,5',CDS,2,controller,3000
RC224,EF1a,EF1a-TS.FF5x1-mRuby2(miRE.FF5)-bGH,FF5x1,miRE.FF5,1,T,5',CDS,2,controller,3001
RC225,EF1a,EF1a-TS.FF6x1-mRuby2-miRE.FF5-bGH,FF6x1,miRE.FF5,1,NT,5',UTR,3,controller,2975
RC226,EF1a,EF1a-TS.FF5x1-mRuby2-miRE.FF5-bGH,FF5x1,miRE.FF5,1,T,5',UTR,3,controller,2976
AIO.039,EFS,EFS-mGL-bGH,na,na,0,na,na,na,0,marker,2352
GEEC555,EF1a,EF1a-SNAP-iRFP-bGH,na,na,0,na,na,na,0,marker,2908
RC227,EF1a,EF1a-mGL(miRE.FF4)-bGH,none,miRE.FF4,0,na,na,CDS,0,miR,3009
RC228,EF1a,EF1a-mRuby2-TS.FF6x2-bGH,FF6x2,none,2,NT,3',na,0,ts3,3177
RC229,EF1a,EF1a-mRuby2-TS.FF6x4-bGH,FF6x4,none,4,NT,3',na,0,ts3,3178
RC230,EF1a,EF1a-mRuby2-TS.FF4x2-bGH,FF4x2,none,2,T,3',na,0,ts3,3179
RC231,EF1a,EF1a-mRuby2-TS.FF4x4-bGH,FF4x4,none,4,T,3',na,0,ts3,3180
RC232,EF1a,EF1a-mRuby2(miRE.FF4)-TS.FF6x2-bGH,FF6x2,miRE.FF4,2,NT,3',CDS,1,controller,3181
RC233,EF1a,EF1a-mRuby2(miRE.FF4)-TS.FF6x4-bGH,FF6x4,miRE.FF4,4,NT,3',CDS,1,controller,3182
RC234,EF1a,EF1a-mRuby2(miRE.FF4)-TS.FF4x2-bGH,FF4x2,miRE.FF4,2,T,3',CDS,1,controller,3183
RC235,EF1a,EF1a-mRuby2(miRE.FF4)-TS.FF4x4-bGH,FF4x4,miRE.FF4,4,T,3',CDS,1,controller,3184
RC236,CAG,CAG-mRuby2-bGH,none,none,0,na,na,na,0,base,3185
RC237,CAG,CAG-mRuby2(miRE.FF4)-TS.FF6x1-bGH,FF6x1,miRE.FF4,1,NT,3',CDS,1,controller,3186
RC238,CAG,CAG-mRuby2(miRE.FF4)-TS.FF4x1-bGH,FF4x1,miRE.FF4,1,T,3',CDS,1,controller,3187
RC239,EF1a,EF1a-mGL-bGH,na,na,0,na,na,na,0,marker,3188
RC601,EF1a,EF1a-mRuby2-TS.FF4x1-bGH,FF4x1,none,1,T,3',separate,0,dual,3010
